2023-04-20 22:06:23,301 DEBUG:Stem
2023-04-20 22:08:32,735 DEBUG:Stem
2023-04-20 22:08:57,901 DEBUG:Stem
2023-04-20 22:09:11,917 DEBUG:Stem
2023-04-20 22:10:07,407 DEBUG:Stem
2023-04-20 22:13:47,571 INFO:Stem
2023-04-20 22:15:20,852 INFO:Stem
2023-04-20 22:15:30,354 INFO:Stem
2023-04-20 22:24:41,438 INFO:Stem
2023-04-20 22:31:47,330 INFO:Stem
2023-04-20 22:37:33,413 INFO:Stem
2023-04-20 22:37:33,436 DEBUG:Application started
2023-04-20 22:37:33,528 INFO:Stem
2023-04-20 22:40:37,983 INFO:Stem
2023-04-20 22:40:38,012 DEBUG:Application started
2023-04-20 22:40:38,069 INFO:Stem
2023-04-20 22:42:20,007 INFO:Stem
2023-04-20 22:42:20,031 DEBUG:Application started
2023-04-20 22:42:20,086 INFO:Stem
2023-04-20 22:44:43,385 INFO:Stem
2023-04-20 22:44:43,407 DEBUG:Application started
2023-04-20 22:44:43,472 INFO:Stem
2023-04-20 22:51:05,872 INFO:Stem
2023-04-20 22:51:05,956 INFO:Stem
2023-04-20 22:56:50,253 INFO:Stem
2023-04-20 22:57:32,166 INFO:Stem
2023-04-20 23:02:28,605 INFO:Stem
2023-04-20 23:02:28,693 INFO:Stem
2023-04-21 17:07:27,841 INFO:Stem
2023-04-21 17:19:30,289 INFO:Stem
2023-04-21 17:19:30,474 INFO:Stem
2023-04-21 17:28:42,236 INFO:Stem
2023-04-21 17:28:42,318 INFO:Stem
2023-04-21 18:47:52,098 INFO:Stem
2023-04-21 18:47:52,180 INFO:Stem
2023-04-21 18:47:52,180 DEBUG:PlantContainer
2023-04-21 18:54:38,648 INFO:Stem
2023-04-21 18:54:38,738 INFO:Stem
2023-04-21 18:54:38,738 DEBUG:PlantContainer
2023-04-21 18:56:07,153 INFO:Stem
2023-04-21 18:56:07,247 INFO:Stem
2023-04-21 18:56:07,247 DEBUG:PlantContainer
2023-04-21 19:09:39,669 INFO:Stem
2023-04-21 19:12:43,018 INFO:Stem
2023-04-21 19:37:18,496 INFO:Stem
2023-04-21 19:44:46,893 INFO:Stem
